1004

hql	jpql	1
('hql', 'more', 'jpql', '', '16886935', 'because hql is more or less superset of jpql it of course works also in hql\n')
('int', 'narrower', 'double', '', '19591563', 'i believe the following works as a sort comparison function for positive int provided the int type used is substantially narrower than the double type 32-bit int and 64-bit double and the log10 routine used returns exactly correct results for exact powers of 10 which a good implementation does\n')
('double', 'value much bigger', 'int', 'memory', '20354046', 'you can convert your object into double and then into int but you should take care as double value is much bigger than int\n')
('int', 'type larger', 'double', 'memory', '12323870', 'you need to use 2 even if the number of bits in your int type is larger than the precision of a double since the number of used bits in the most significant value might only be 1\n')
('double', 'wider', 'int', '', '20821194', 'the most urgent one that comes to mind is that a double is wider than an int on your platform and garbage memory is read\n')
('int', 'part less', 'double', '', '9081126', 'the int part is less than 2 and the double part is less than 3\n')
('double', 'greater', 'int', '', '11321381', 'alternatively if fieldsize is equal to sizeof double and sizeof double is greater than sizeof int then you are writing off the end of d_buffer and then something is corrupting your data\n')
('double', 'more', 'int', '', '1400465', 'i am guessing this is because modifying a double is a more complex operation than modifying an int\n')
('int', 'less', 'double', '', '3027395', 'it implicitly converts an int to a double gets the double form of largest int that is less or equal to that double and converts that back to an int\n')
('int', 'much smaller', 'double', 'memory', '4181954', 'don t forget that the range of int is much smaller than the range of double\n')
('int', 'wider', 'double', '', '16964112', 'the widths are positive int not wider than the double significand 53 bits\n')
('double', 'less', 'int', '', '21470294', 'your nummines calculation will always return 0 because when you cast a double that is less than 1 to an int it will be set to 0 which means that the statement in your while loop will only be run a single time hence only a single mine being placed\n')
('double', 'bigger mantissa', 'int', 'memory', '2386794', 'the double has a bigger mantissa the int bits of the real number\n')
('int', 'greater', 'double', '', '22740584', 'if a 64-bit long is written as an int and is greater than 2 53 ieee double has a 52-bit mantissa then reading it as a double will lose precision\n')
('double', 'more complex', 'int', 'usability', '1400465', 'i am guessing this is because modifying a double is a more complex operation than modifying an int\n')
('double', 'greater', 'int', '', '12314984', 'since double is greater that int and long int and long will be turned into double in double long and int double\n')
('double', 'more space ints-an', 'int', 'memory', '1935145', 'you re getting the outofmemory because if you declare int 1000 the memory is allocated immediately additionally double take up more space than ints-an int representation will also save you space\n')
('double', 'slower', 'int', 'performance', '16741309', 'double is a different data type and generally much slower than int\n')
('double', 'wider', 'int', '', '5694078', 'also given that double has a wider range what would one return for those out of range int values\n')
('double', 'trickier', 'int', '', '4194962', 'note that the double is much trickier than the int s\n')
('int', 'slower', 'double', 'performance', '2242618', 'using and at the same time to check equality on a int results in slower code because it takes two comparisons instead of one taking the double amount of time\n')
('double', 'more general', 'int', '', '15770825', 'but this isn t true because double is more general than int and therefore int is the most-specific option in this case\n')
('int', 'smaller range', 'double', 'memory', '1696724', 'int can hold a smaller range than double\n')
('int', 'smaller', 'double', 'memory', '7089680', 'the problem is that the precision of the data type int is smaller as the precision of double the function pow returns double therefore the value of binarychar i will be implizit converted to double and so on.\n')
('double', 'greater', 'int', '', '5693478', 'double has a greater value range than int\n')
('int', 'better results', 'double', '', '5787578', 'if you use int between -128 and 127 you will get much better results than double from -128 to 127 because the former uses caches values the later does not\n')
('double', 'slower', 'int', 'performance', '15298409', 'double is much slower than int\n')
('double', 'higher precision', 'int', '', '19565419', 'you can assign the int s returned from integer.parseint string s to your double variables because double s are higher precision than int s and so type conversion happens automatically without the need for an explicit cast\n')
('int', 'narrower', 'double', '', '19591563', 'the int portions of the logarithms of 31 and 310 use different numbers of bits so there are different numbers of bits left for the significand so they end up being rounded to slightly different values. as long as the int type is substantially narrower than the double type the calculated limit will be much larger than the error in log10\n')
('double', 'bigger', 'int', 'memory', '2386794', 'the double has a bigger mantissa the int bits of the real number\n')
('double', 'more', 'int', '', '15770825', 'but this isn t true because double is more general than int and therefore int is the most-specific option in this case\n')
('double', 'better', 'int', '', '17306689', 'except that double is much better than int for storing the join_angle in radians\n')
('double', 'bigger', 'int', 'memory', '11001264', 'with the cast that bad stuff is undefined behavior most likely double is bigger than int and it overruns the memory for i\n')
('int', 'less memory', 'double', 'memory', '13566079', 'typically an int will use less memory than a double that is why one doesn t just use the largest possible datatype\n')
('int', 'typically smaller', 'double', 'memory', '20732505', 'in contrast accessing the bits of a double as an int is usually in-practice safe even though it s formally ub because 1 an int is typically smaller or equal in size to double and 2 an int usually does not have any invalid bit patterns\n')
('double', 'more flexible', 'int', 'usability', '23555019', 'it seems to be that double is much more flexible than int\n')
('double', 'less', 'int', '', '23227239', 'the double literal 99.9999999999999 can be represented as a double which is less than 100 so the cast to int truncates the decimal part and 99 is the result\n')
('int', 'better', 'double', '', '14285655', 'note how i cast the result to int which is better suited for years than the double precision returned by extract\n')
('double', 'much wider', 'int', '', '1348958', 'the range of double is much wider than the range of int or long\n')
('double', 'faster', 'int', 'performance', '12443760', 'on my machine the double swap loop completes 11 times faster than the int swap loop\n')
('double', 'bigger', 'int', 'memory', '10531075', 'a normal 3 will be treated as int but in the test function you are retrieving double which are bigger than an int on most platforms and you might end up reading wrong locations which inturn leads to exc_bad_access run time signal being generated\n')
('int', 'more efficient', 'double', 'performance', '7998350', 'if you want the modulus use as it gives an int and would be more efficient than double arithmetic\n')
('double', 'more', 'int', '', '3878773', 'a double is a more precise type than an int in a general manner of speaking\n')
('double', 'range more', 'int', 'usability', '2582032', 'double has range more than a 64-bit int but its precision is less dues to its representation since double is 64-bit as well it can t fit more actual values\n')
('int', 'less', 'double', '', '17383440', 'i don t understand how an int 63823 takes up less space than a double 1.0\n')
('double', 'greater', 'int', '', '526070', 'today i noticed that when i cast a double that is greater than the maximum possible int to an int i get -2147483648\n')
('double', 'precision much more', 'int', '', '3632503', 'as for the last question floating point arithmetic particularly double precision is much more complex than int arithmetic so on a reasonably modern pipelined processor each instruction will take longer to execute\n')
('int', 'lower', 'double', '', '13589067', 'so no arguments after the 1st one get automatically converted except as defined by default argument conversions basically any int type with a rank lower than int to int and any floating-point type with a rank lower than double to double thank you pascal cuoq\n')
('int', 'faster', 'double', 'performance', '24159693', 'int subtractions are 2.5 times faster than double subtractions on my machine\n')
('int', 'less', 'double', '', '17383158', 'i don t understand how an int 63823 takes up less space than a double 1.0\n')
('double', 'way greater', 'int', '', '605544', 'the range of double is way greater than the range of 32 or 64 bit int which is why std floor returns a double\n')
('double', 'faster', 'int', 'performance', '594466', 'so i asked myself can a double be faster than a int\n')
('int', 'less space', 'double', 'memory', '14674829', 'int would take up less space than a double\n')
('double', 'more mantissa', 'int', '', '19689402', 'since double has more mantissa bits than int can have significant bits comparisions between double and int are precise in that regard\n')
('int', 'more', 'double', '', '2521374', 'by contrast void doitagain int is more specific than void doitagain double because int is a subtype of double according the the jls\n')
('double', 'value also larger', 'int', 'memory', '511928', 'the largest double value is also larger than the largest int so it would have to be a long\n')
('double', 'more', 'int', '', '19689402', 'since double has more mantissa bits than int can have significant bits comparisions between double and int are precise in that regard\n')
('int', 'better', 'double', '', '22307506', 'imho int looks better than double in your task\n')
('int', 'smaller', 'double', 'memory', '23953851', 'it doesn t matter if second member would be int short or whatever - as long as it is smaller than double sizeof struct will be 16\n')
('double', 'not bigger', 'int', 'memory', '16268270', 'this will work as long as the double is not bigger than what can fit in an int\n')
('double', 'smaller', 'int', 'memory', '24119742', 'this imply that result of pow x y converted to int will be truncated because of double arithmetic and exponentiation that will return double value slightly smaller than int\n')
('double', 'more', 'int', '', '24857068', 'for floats and double it s more difficult as with plain int as these may or not may be in the host machines byte-order\n')
('double', 'bigger', 'int', 'memory', '10951622', 'one of long long and double is bigger than 3 int and a multiple of 8\n')
('int', 'faster', 'double', 'performance', '24159693', 'int multiplications however are only 1.5 times faster than double multiplications\n')
('double', 'less', 'int', '', '526070', 'similarly when i cast a double that is less than the minimum possible int i also get -2147483648\n')
('double', 'better', 'int', '', '21886861', 'double is better than int though as it will help you keep precision\n')
('int', 'more specific', 'double', '', '2521374', 'by contrast void doitagain int is more specific than void doitagain double because int is a subtype of double according the the jls\n')
('int', 'more specific', 'double', '', '19436196', 'i thought when i pass 1 as the argument java would have picked the first argument because int is more specific than double\n')
('double', 'less', 'int', '', '23666565', 'as far as i m aware so long as the spacing between two double is less than 2 then int values stored as double should be exact - and though 10 14 is pushing it this should be an exact int since 10 14 2 46.507 2 53\n')
('double', 'more', 'int', '', '105339', 'for floats and double it s more difficult as with plain int as these may or not may be in the host machines byte-order\n')
('double', 'less', 'int', '', '15949536', 'you really might need to up cast everything into a double and then check to see if the result is greater than or less than an int\n')
('double', 'greater value', 'int', '', '5693478', 'double has a greater value range than int\n')
('double', 'less', 'int', '', '14552079', 'i should point out previously in the code the double is less than 1 i.e 0.987 and is then multiplied by the number of decimal places to make it a real positive int though it s stored as a double still at that point\n')
('double', 'precision much more complex', 'int', 'usability', '3632503', 'as for the last question floating point arithmetic particularly double precision is much more complex than int arithmetic so on a reasonably modern pipelined processor each instruction will take longer to execute\n')
('double', 'more inexact', 'int', '', '14701685', 'about the inexactness problem you should be aware that double can be more inexact than int\n')
('int', 'lower rank', 'double', '', '18709820', 'num is a of type const int which is of lower rank when compared to the type of z which is double\n')
('int', 'better performance', 'double', 'performance', '3676567', 'i m writing a c# class to perform 2d separable convolution using int to obtain better performance than double counterpart\n')
('int', 'significantly faster', 'double', 'performance', '25354205', 'this can t help performance either since pow double int is significantly faster than pow double double in general\n')
('int', 'more', 'double', '', '9447869', 'as soon as the int needs more than 29 bits the atom is changed by the vm into a number type which is really represented as a 29 bit pointer to the actual 64 bit double precision float\n')
('double', 'much more flexible', 'int', 'usability', '23555019', 'it seems to be that double is much more flexible than int\n')
('int', 'less', 'double', '', '14638096', 'int takes less space than double on ram\n')
('int', 'larger', 'double', 'memory', '4391609', 'your upccode int is larger than the long data type so i tried it with double which is a float but works\n')
('int', 'slower', 'double', 'performance', '10107000', 'even dividing int is slower than multiplying floats or double in some cases\n')
('int', 'smaller', 'double', 'memory', '20963734', 'on many systems int is smaller than double so if that s the case on yours this is very likely to be the cause of your crash\n')
('double', 'far greater', 'int', '', '605547', 'another reason is that the range of double is far greater than that of int\n')
('int', 'less', 'double', '', '21528753', 'int needs less memory comparing to double numbers\n')
('int', 'less memory', 'double', 'memory', '21528753', 'int needs less memory comparing to double numbers\n')
('double', 'much slower', 'int', 'performance', '15298409', 'double is much slower than int\n')
('int', 'quicker float', 'double', '', '11286328', 'a solution using int only calculations should be quicker than float double calculations is\n')
('double', 'much more', 'int', '', '23555019', 'it seems to be that double is much more flexible than int\n')
('double', 'bigger', 'int', 'memory', '18580095', 'you could try using double which is bigger than a long and use only the int part\n')
('double', 'larger', 'int', 'memory', '20732505', 'a double is 1 typically larger than an int and 2 has some internal structure\n')
('int', 'less space', 'double', 'memory', '14638096', 'int takes less space than double on ram\n')
('double', 'wider range', 'int', 'usability', '5694078', 'also given that double has a wider range what would one return for those out of range int values\n')
('int', 'more', 'double', '', '7472356', 'or math.ceil double which returns the closest int that is more than the double\n')
('int', 'more bits', 'double', '', '14313668', 'you can work around this issue if you ll advance to big int floating point numbers that store more bits than a double precision number\n')
('double', 'more difficult', 'int', '', '24857068', 'for floats and double it s more difficult as with plain int as these may or not may be in the host machines byte-order\n')
('int', 'type substantially narrower', 'double', '', '19591563', 'the int portions of the logarithms of 31 and 310 use different numbers of bits so there are different numbers of bits left for the significand so they end up being rounded to slightly different values. as long as the int type is substantially narrower than the double type the calculated limit will be much larger than the error in log10\n')
('double', 'less', 'int', '', '3481367', 'that wouldn t work on platforms where a double is less than 64 bits but it would work on many platforms without 64-bit int\n')
('double', 'more complex', 'int', 'usability', '3632503', 'as for the last question floating point arithmetic particularly double precision is much more complex than int arithmetic so on a reasonably modern pipelined processor each instruction will take longer to execute\n')
('double', 'higher magnitude', 'int', '', '4130727', 'not really considering that a double can be a much higher magnitude than an int\n')
('int', 'faster pow', 'double', 'performance', '25354205', 'this can t help performance either since pow double int is significantly faster than pow double double in general\n')
('int', 'slower', 'double', 'performance', '7896213', 'with it is nub on and comparing big int is slower than comparing double\n')
('int', 'smaller rank', 'double', 'memory', '25343540', 'for historical reasons you can not pass an int argument of smaller rank than int or a floating type of smaller rank than double to a variadic function\n')
('double', 'more', 'int', '', '22203178', 'double s length is way more than int that s why you should be checking int first\n')
('double', 'more difficult', 'int', '', '105339', 'for floats and double it s more difficult as with plain int as these may or not may be in the host machines byte-order\n')
('double', 'larger numbers', 'int', 'memory', '5693480', 'because double can contain larger numbers than int or long\n')
('double', 'more general type', 'int', '', '19823940', 'double can in a way be seen as a more general type than int\n')
('double', 'larger', 'int', 'memory', '6765663', 'i understand that the compiler isn t happy because a double might be larger than an int can hold but this particular control is guaranteed to be a value from 1 to 10 so i know that it will be okay\n')
('double', 'slower', 'int', 'performance', '16741312', 'incrementing the value might be a special case but it s possible that on your machine incrementing double is slower than incrementing int\n')
('int', 'types more', 'double', '', '6385312', 'on a 32-bit machine doing addition and comparison on 64-bit int types takes more instructions than doing the equivalent on double s\n')
('double', 'much better', 'int', '', '17306689', 'except that double is much better than int for storing the join_angle in radians\n')
('int', 'smaller', 'double', 'memory', '8103414', 'in vararg functions such as printf int smaller than int are promoted to int and floats smaller than double are promoted to double\n')
('double', 'bigger', 'int', 'memory', '2551657', 'edit actually my solution does not work because double can be very big much bigger than int and also very small like fractions\n')
('double', 'larger type', 'int', 'memory', '12931816', 'the math.round double a method returns a long which is a larger type than int\n')
('int', 'greater', 'double', '', '6297636', 'you should be using math.ceiling which will return the smallest int value that is greater than the double passed in\n')
('int', 'less space', 'double', 'memory', '17383158', 'i don t understand how an int 63823 takes up less space than a double 1.0\n')
('int', 'smaller', 'double', 'memory', '13032415', 'and since float is typically promoted to double with varargs calls if your int is smaller than your double this will break\n')
('double', 'less', 'int', '', '24945410', 'because all int s can be upcast to a double without loss and the pow function on a double is no less efficient that that on an int\n')
('int', 'smaller sizeof', 'double', 'memory', '24146146', 'since sizeof int is very probably smaller than sizeof double this is going to lead to horror\n')
('int', 'slower code', 'double', 'performance', '2242618', 'using and at the same time to check equality on a int results in slower code because it takes two comparisons instead of one taking the double amount of time\n')
('int', 'more', 'double', '', '19436196', 'i thought when i pass 1 as the argument java would have picked the first argument because int is more specific than double\n')
('int', 'less space', 'double', 'memory', '17383440', 'i don t understand how an int 63823 takes up less space than a double 1.0\n')
('int', 'faster', 'double', 'performance', '16298551', 'the difference is that int are still faster than double because it takes very few clock cycles to do arithmetic operations on int\n')
('double', 'much trickier', 'int', '', '4194962', 'note that the double is much trickier than the int s\n')
('int', 'types more instructions', 'double', '', '6385312', 'on a 32-bit machine doing addition and comparison on 64-bit int types takes more instructions than doing the equivalent on double s\n')
('double', 'smaller', 'int', 'memory', '5772391', 'these conversions promote float to double and anything smaller than int to int or unsigned int\n')
('double', 'higher', 'int', '', '2625948', 'because a double is higher it will merge the int into the 0.0\n')
('double', 'larger', 'int', 'memory', '12015986', 'double is larger than an int hence the overflow\n')
('double', 'bigger', 'int', 'memory', '10556878', 'a double is also probably bigger than an int\n')
('double', 'larger 64-bit', 'int', 'memory', '21071959', 'typically a double is 64-bit ieee floating point with roughly 52 bits precision and with range much larger than 64-bit int so magnitude is no problem\n')
('double', 'less efficient', 'int', 'performance', '24945410', 'because all int s can be upcast to a double without loss and the pow function on a double is no less efficient that that on an int\n')
('double', 'bigger', 'int', 'memory', '20354046', 'you can convert your object into double and then into int but you should take care as double value is much bigger than int\n')
('int', 'lower', 'double', '', '18709820', 'num is a of type const int which is of lower rank when compared to the type of z which is double\n')
('double', 'greater', 'int', '', '25636405', 'and the second calculation 33 5.0 the result is actually promoted to double which has greater precision than int and resulted to decimal\n')
('double', 'greater precision', 'int', '', '25636405', 'and the second calculation 33 5.0 the result is actually promoted to double which has greater precision than int and resulted to decimal\n')
('double', 'more precise', 'int', '', '3878773', 'a double is a more precise type than an int in a general manner of speaking\n')
('double', 'smaller', 'int', 'memory', '10789396', 'you could try to add some value to the double to make sure it s bigger or smaller than an int can be\n')
('double', 'greater sizeof', 'int', '', '11321381', 'alternatively if fieldsize is equal to sizeof double and sizeof double is greater than sizeof int then you are writing off the end of d_buffer and then something is corrupting your data\n')
('double', 'higher values', 'int', '', '17379031', 'to prevent the code from overflowing the int value space you should could change the type of res to double long anything that can hold higher values than int\n')

uicollectionview	icarousel	2
('uicollectionview', 'better', 'icarousel', '', '14078238', 'my only problem is that is seems that using uicollectionview is a better approach and i have read some seemingly off-hand comments about icarousel being a poor approach\n')
('uicollectionview', 'better approach', 'icarousel', 'usability', '14078238', 'my only problem is that is seems that using uicollectionview is a better approach and i have read some seemingly off-hand comments about icarousel being a poor approach\n')

scoreloop	openfeint	1
('scoreloop', 'quicker', 'openfeint', '', '8975862', 'further to this i m still opting for scoreloop and i can confirm this behaves the same regarding one score per user but it offers a lot more functionality and does seem to respond much quicker than openfeint did for me\n')

for-loop	loops	113
('for-loop', 'more convenient', 'loops', 'usability', '12515354', 'you should use a for-loop which is more convenient to loops in an arrays\n')
('loops', 'more convenient', 'for-loop', 'usability', '17098497', 'also as an aside objective-c has a foreach loops that is more convenient than manually setting up a for-loop with a counter\n')
('loops', 'better', 'for-loop', '', '24106458', 'your while loops always runs a fixed number of times so from a stylistic point of view you would be better off with a for-loop\n')
('for-loop', 'much simpler', 'loops', 'usability', '4916856', 'using for-loop is much simpler if you use condition as limit for breaking loops\n')
('for-loop', 'header actually more time', 'loops', 'performance', '12865406', 'here the for-loop header takes actually more time than loops body thus profiling results could be distorted.\n')
('loops', 'slower normal', 'for-loop', 'performance', '9845010', 'if you are using any js loops then for each loops is slower than normal for-loop you might wanna take a look at this\n')
('loops', 'faster', 'for-loop', 'performance', '22733212', 'even if a foreach loops were faster than a for-loop there are still operations being carried out that wouldn t be in your manual example\n')
('for-loop', 'more advantages', 'loops', '', '17399107', 'for-loop is widly used and has more advantages over while loops but ther are some cases when while loops is perferable\n')
('loops', 'much slower then', 'for-loop', 'performance', '18788316', 'if the above is true doesn t this mean that the foreach loops is much slower then the common for-loop since it involves making copies of each element of the arrays\n')
('for-loop', 'usually better', 'loops', '', '6710643', 'as for your question a for-loop is usually better when you want a piece of code to run a certain number of times and a while loops is better when the condition for the code to keep running is more general such as having a boolean flag that is only set to true when a certain condition is met in the code block\n')
('loops', 'easier', 'for-loop', 'usability', '23729685', 'instead of using a while loops it is easier to use a for-loop\n')
('loops', 'slightly slower', 'for-loop', 'performance', '22775039', 'the other option is to use a foreach loops which is slightly slower than a for-loop but works almost equivalently for all practical purposes\n')
('for-loop', 'header actually more', 'loops', '', '12865406', 'here the for-loop header takes actually more time than loops body thus profiling results could be distorted.\n')
('loops', 'generally faster', 'for-loop', 'performance', '4929144', 'the reverse while loops is generally faster than a for-loop as well\n')
('for-loop', 'more', 'loops', '', '18117449', 'additionally you should reset i each time you go through loops and a for-loop makes more sense than a while loops especially if you re using c99 as i can be declared within loops\n')
('loops', '3x faster', 'for-loop', 'performance', '15094242', 'says that enhanced for loops is 3x faster than the regular for-loop well that great and its easier to write anyways but what if i need the index\n')
('loops', 'slower', 'for-loop', 'performance', '5664650', 'is the foreach loops slower than the for-loop\n')
('for-loop', 'more', 'loops', '', '8664211', 'the incrementor in the for-loop is more of a while 1 endless loops\n')
('loops', 'more efficient', 'for-loop', 'performance', '2708621', 'my view is that option 1 is clumsy code and involves unnecessary creation of an arrays even though the for-each loops is more efficient than the traditional for-loop in option 2\n')
('for-loop', 'faster', 'loops', 'performance', '25188670', 'as the simple for-loop is faster than a foreach loops\n')
('loops', 'faster', 'for-loop', 'performance', '7169035', 'on windows the while loops above is 20 faster than the original for-loop in google-chrome in ie and firefox both loops perform the same\n')
('loops', 'less clean', 'for-loop', '', '9143874', 'i personally think the while loops looks less clean than the nested for-loop\n')
('for-loop', 'better', 'loops', '', '21630330', 'then you should achive them with a counter and maybe a for-loop is better then while loops\n')
('for-loop', 'more', 'loops', '', '4345604', 'a for-loop is more appropriate than a while loops in your code\n')
('loops', 'better', 'for-loop', '', '6710601', 'if i have to use the value of counter in my program then i think while loops is better than for-loop\n')
('for-loop', 'bigger', 'loops', 'memory', '24578261', 'i have the impression that the implementantion has something to do with a for-loop and some kind of adaptive delay that gets bigger as loops count increases\n')
('for-loop', 'much easier', 'loops', 'usability', '24376207', 'even if you use a lowly for-loop it s much easier to loops over the elements of a list than it is to construct variable names with paste and access the objects with get\n')
('for-loop', 'much faster', 'loops', 'performance', '25279932', 'in some cases hand-writing a for-loop is much faster than the equivalent accelerate functions because the compiler can optimize your loops better than the function\n')
('loops', 'faster', 'for-loop', 'performance', '4929144', 'the reverse while loops is generally faster than a for-loop as well\n')
('loops', 'better', 'for-loop', '', '6710601', 'i found a simple condition where using while loops is better than for-loop\n')
('for-loop', 'probably better', 'loops', '', '5991990', 'thus your for-loop is probably better expressed as following while loops\n')
('loops', 'more', 'for-loop', '', '17098497', 'also as an aside objective-c has a foreach loops that is more convenient than manually setting up a for-loop with a counter\n')
('for-loop', 'less error', 'loops', 'reliability', '3875160', 'they are functionally identical however it can be argued that the for-loop is less error prone because all of loops functionality is right there together\n')
('for-loop', 'better then', 'loops', '', '21630330', 'then you should achive them with a counter and maybe a for-loop is better then while loops\n')
('for-loop', 'faster', 'loops', 'performance', '15041187', 'and normal for-loop is faster than for-in loops\n')
('loops', 'less', 'for-loop', '', '9143874', 'i personally think the while loops looks less clean than the nested for-loop\n')
('for-loop', 'larger', 'loops', 'memory', '8867930', 'a becomes 10 while it is still inside of the for-loop and gets larger than 10 when the while loops goes for a second run\n')
('loops', 'slower', 'for-loop', 'performance', '3765747', 'the foreach loops is slower than the for-loop yet most people don t rewrite all of their code to use the for\n')
('loops', 'faster', 'for-loop', 'performance', '14272602', 'loops recur is faster - it s one of the most efficient constructs in clojure done correctly it should match the speed of an equivalent for-loop in java code\n')
('loops', 'better', 'for-loop', '', '20612281', 'imho loops looks better with a for-loop iterating in the right direction\n')
('for-loop', 'more flexibility', 'loops', 'usability', '20060585', 'a c-style for-loop has more flexibility but ultimately you can write an equivalent loops with python s while or c s while for that matter which touches not only on the â œone obvious wayâ principle but also â œsimple is better than complexâ amongst others\n')
('for-loop', 'more', 'loops', '', '24275384', 'as others have stated the python for-loop is more like a a traditional foreach loops in the sense that it iterates over a collection of items without checking a condition\n')
('for-loop', 'greater', 'loops', '', '9427335', 'the for-loop is using i as a global variable so if your instance.set_marker function is also using i as a global variable and sets its value to something greater than 6 loops will exit\n')
('loops', 'faster', 'for-loop', 'performance', '8789679', 'so we can see that an optimised while loops is faster than a for-loop by 2 operations however it uses more stack space\n')
('for-loop', 'slower', 'loops', 'performance', '8843436', 'in example sendp method included in for-loop which is slower than making other loops to send packets\n')
('loops', 'bigger', 'for-loop', 'memory', '14953701', 'the result amazed me in the way that as loops goes over bigger range the performance of c# decreases as compared to c..for smaller range c# shown well performance over c....but as upper range of for-loop increases the c# performance degrades as compare to c..\n')
('for-loop', 'typically several more machine', 'loops', '', '24598518', 'i noticed some time ago that a for-loop typically generates several more machine instructions than a while loops\n')
('loops', 'much slower', 'for-loop', 'performance', '18788316', 'if the above is true doesn t this mean that the foreach loops is much slower then the common for-loop since it involves making copies of each element of the arrays\n')
('loops', 'slower', 'for-loop', 'performance', '9845010', 'if you are using any js loops then for each loops is slower than normal for-loop you might wanna take a look at this\n')
('for-loop', 'simpler', 'loops', 'usability', '6965355', 'to my mind a for-loop is simpler to understand than traversing the list backwards with a while loops\n')
('loops', 'slower', 'for-loop', 'performance', '18599095', 'you could also use a for each loops to handle this though that type of loops is slower than a standard for-loop depending on application\n')
('for-loop', 'generally better', 'loops', '', '472283', 'the conclusion of the article is that using for-loop is generally better and faster than the foreach loops\n')
('for-loop', 'faster', 'loops', 'performance', '9326919', 'is for-loop is faster than while loops\n')
('loops', 'more', 'for-loop', '', '2708621', 'my view is that option 1 is clumsy code and involves unnecessary creation of an arrays even though the for-each loops is more efficient than the traditional for-loop in option 2\n')
('for-loop', 'more time', 'loops', 'performance', '12865406', 'here the for-loop header takes actually more time than loops body thus profiling results could be distorted.\n')
('loops', 'strictly more', 'for-loop', '', '2098528', 'the class of problems you can solve with while loops is strictly more powerful than those you could have solved with the strict for-loop found in pascal\n')
('for-loop', 'faster', 'loops', 'performance', '15283900', 'to explain why a for-loop is faster than a for in loops is basically understand the underlying data structures used to store the data in memory\n')
('for-loop', 'much faster', 'loops', 'performance', '365630', 'i did test it a while ago with the result that a for-loop is much faster than a foreach loops\n')
('for-loop', 'more simpler', 'loops', 'usability', '5960350', 'loops in c++ are most basic than python the for-loop is more simpler it is based on the three expression initializer expression loops test expression and the counting expression\n')
('for-loop', 'easier', 'loops', 'usability', '24484908', 'for-loop is easier to read than a while loops\n')
('loops', 'slower', 'for-loop', 'performance', '8183143', 'however the while loops remains a little slower than the for-loop\n')
('for-loop', 'faster foreach', 'loops', 'performance', '24097769', 'i prefer using for-loop instead of foreach loops for-loop is preferably faster than foreach loops when you do not have to do something to each element and can solve your problem by just using the index as follows\n')
('loops', 'strictly more powerful', 'for-loop', 'usability', '2098528', 'the class of problems you can solve with while loops is strictly more powerful than those you could have solved with the strict for-loop found in pascal\n')
('for-loop', 'easier', 'loops', 'usability', '12801051', 'secondly you will find a for-loop is easier than a do loops for implementing the logic as you don t need to keep track of loops counter manually\n')
('loops', 'faster', 'for-loop', 'performance', '6049305', 'and the results is that foreach loops is 5-6 times faster than the for-loop\n')
('loops', 'faster', 'for-loop', 'performance', '1165594', 'even if the hypothesis of the while loops being faster than the for-loop were true and it s not the loops you d had to change optimize wouldn t be the outer ones but the inner ones because those are executed more times\n')
('for-loop', 'faster foreach', 'loops', 'performance', '8630885', 'because i heard that for-loop is much faster than foreach loops\n')
('for-loop', 'more', 'loops', '', '5960350', 'loops in c++ are most basic than python the for-loop is more simpler it is based on the three expression initializer expression loops test expression and the counting expression\n')
('loops', 'wider', 'for-loop', '', '848039', 'the scope of the variable in the test of the while loops is wider than the scope of variables declared in the header of the for-loop\n')
('loops', 'slower', 'for-loop', 'performance', '18026738', 'the only browser where the while loops was slower than the for-loop was in opera\n')
('for-loop', 'more', 'loops', '', '4161467', 'i m binding a grid view inside a for-loop which executes more than once.now when loops ends the data in grid view is the data binded at the last run of for-loop i.e all previous binds in the for-loop over overwritten.i dont want this .i want new rows to be inserted at each run of the for-loop ..plz help somebody\n')
('for-loop', 'easier', 'loops', 'usability', '2242654', 'further as a for-loop it is easier to read as everything initialization loops condition expression to be executed after each iteration are all on one line\n')
('loops', 'bigger range', 'for-loop', 'memory', '14953701', 'the result amazed me in the way that as loops goes over bigger range the performance of c# decreases as compared to c..for smaller range c# shown well performance over c....but as upper range of for-loop increases the c# performance degrades as compare to c..\n')
('loops', 'more', 'for-loop', '', '25340570', 'its really strange that the same doesn t work with a while loops as is said that a while loops is more fundamental that a for-loop\n')
('for-loop', 'faster', 'loops', 'performance', '11555489', 'one place where the enhanced for-loop is faster than a naively implemented traditional loops is something like this\n')
('for-loop', 'more', 'loops', '', '23779216', 'note that the for-loop based on the string assignment a_string runs one time more than loops based on the inline assignment a_inline -- notice the last number -3.46945e-18\n')
('loops', 'clearer', 'for-loop', '', '4469925', 'really a while loops would probably have been clearer than a for-loop on reflection\n')
('for-loop', 'cleaner', 'loops', '', '5667009', 'this is a use case where a for-loop is cleaner to use than a while loops\n')
('for-loop', 'more', 'loops', '', '12515354', 'you should use a for-loop which is more convenient to loops in an arrays\n')
('loops', 'more sense', 'for-loop', '', '12983538', 'a while loops makes more sense in this situation or a for-loop without initialization\n')
('for-loop', 'better c#', 'loops', '', '14953701', 'here i started above testing with the aim that c for-loop performance will be better than c# loops but it goes exactly opposite with my understanding and gone with this question and agreed...but when i increase the upper range of for-loop the c performance goes well as compared to c#.\n')
('loops', 'faster', 'for-loop', 'performance', '9143497', 'the other advice i have is that a for-each loops is faster than a for-loop\n')
