250

wmv	flv	1
('wmv', 'easier', 'flv', 'usability', '2562', 'i found the production of wmv much better and easier than flv because all windows flv encoders i tried are not really good and stable whereas pretty much every tool can natively output wmv\n')
('hash', 'higher strength', 'md5', '', '1786428', 'it is likely that you could do an sha hash of 100kb in well less than 10 second though and though sha-1 is still theoretically flawed it is of higher strength than md5\n')
('hash', 'more reliable', 'md5', 'reliability', '116739', 'sha-256 uses 64 characters in the database but with an index on the column that isn t a problem and it is a proven hash and more reliable than md5 and sha-1\n')
('md5', 'much more secure', 'hash', '', '134346', 'using a non-reversible hash such as md5 is much more secure and you can store the hash value as clear text\n')
('md5', 'much more', 'hash', '', '134346', 'using a non-reversible hash such as md5 is much more secure and you can store the hash value as clear text\n')

pbkdf2	hash	1
('pbkdf2', 'quicker', 'hash', '', '116767', 'a key-stretching algorithm like pbkdf2 applies a quicker hash like sha512 thousands of times typically causing the hash generation to take 1 5 of a second or so\n')

metaphone	soundex	1
('metaphone', 'better', 'soundex', '', '123076', 'edit double metaphone was specifically designed to be better than soundex and work in languages other than english\n')

rsa	aes	3
('rsa', 'more so', 'aes', '', '124248', 'that is actually not the case with rsa which is --- more so than aes --- just a math equation\n')
('rsa', 'less user-friendly', 'aes', 'usability', '124248', 'algorithms like rsa are much less user-friendly than aes\n')
('aes', 'less safe', 'rsa', '', '124248', 'block crypto algorithms like aes do suffer from this problem too but without a pki aes is no less safe than rsa\n')

shellsort	quicksort	1
('shellsort', 'slower', 'quicksort', 'performance', '128055', 'if you use shellsort no extra memory is needed at all though shellsort will be much slower than quicksort\n')

g++	gcc	1
('g++', 'looser', 'gcc', '', '128221', 'unfortunately g++ packed the structs significantly looser than gcc which caused significant problems sharing objects between c and c++ code\n')

inline	inlining	1
('inline', 'bigger', 'inlining', 'memory', '133271', 'if a function is static thus not exported anyway and only called once within your code and you never use a pointer to the function chances are good that gcc will decide to inline it automatically as it will have no negative impact the binary won t get bigger by inlining it only once\n')

codeigniter	cakephp	1
('codeigniter', 'lighter', 'cakephp', 'memory', '139120', 'i suspect codeigniter doesn t have quite as flexible a structure it s smaller and lighter than cakephp but a quick look at the cakephp manual to see how behaviors components helpers and the vendors folder may be helpful\n')

width	height	16
('height', 'greater', 'width', '', '1753801', 'when working with a portrait photo the height is greater than the width\n')
('height', 'larger', 'width', 'memory', '1830829', 'such that a landscape image would have an ideal height of 300 or slightly larger with a width 400 and a portrait image would have an ideal width of 400 or slightly larger with a height 300\n')
('height', 'bigger original', 'width', 'memory', '1725214', 'if set true then it might increase the width or height if the given width and height are bigger than original width and height\n')
('height', 'greater', 'width', '', '340054', 'add a new row until height is greater than width\n')
('width', 'greater', 'height', '', '140501', 'if the width is greater then height 3 4 screen.width then\n')
('height', 'greater', 'width', '', '2156868', 'now i want an array which contain those books id s which their height is greater than or equal to their width\n')
('width', 'greater', 'height', '', '1405994', 'the width is greater than the height so our calculations are\n')
('height', 'greater', 'width', '', '922429', 'it s close - i m finding if height is greater than width the left position of the rotated image is incorrect\n')
('width', 'larger', 'height', 'memory', '1830829', 'such that a landscape image would have an ideal height of 300 or slightly larger with a width 400 and a portrait image would have an ideal width of 400 or slightly larger with a height 300\n')
('width', 'greater', 'height', '', '1679092', 'whenever i resize an image to a desired size there whe width is greater than the height the proportions get screwed\n')
('width', 'greater', 'height', '', '1753801', 'when working with a landscape photo the photo width is greater than the photo height\n')
('width', 'longer', 'height', '', '505839', 'my fixed document xps has its page orientation set to landscape the page media size has a width that is longer that its height and it displays correctly in the viewer as landscape\n')
('width', 'bigger', 'height', 'memory', '1499590', 'edit actually you resize the one that is the biggest if width is bigger you resize that and if height is bigger then you resize that\n')
('width', 'greater', 'height', '', '922429', 'similarly if width is greater than height the top position of the rotated image is incorrect\n')
('height', 'much bigger', 'width', 'memory', '2136850', 'however after rotating a rectangular image its new width and height is much bigger as these two screenshots should help clarify during rotation and after rotating then rotating again -- the little handles show where the images x y width height extends to\n')
('width', 'greater', 'height', '', '340054', 'add a new column until width is greater than height\n')

integer	floating-point	8
('integer', 'simpler', 'floating-point', 'usability', '141340', 'but integer arithmetic arguably is inherently simpler than floating-point\n')
('integer', 'faster', 'floating-point', 'performance', '288727', 'which uses all integer arithmetic is usually faster than its floating-point equivalent likely significantly faster in the case of a floating-point type equivalent to t-sql s decimal type\n')
('integer', 'greater', 'floating-point', '', '798046', 'i know c++ have functions that return largest or smallest integer that is greater or lower than a like ceil or floor.is there a function that implement digit limitation of floating-point variable\n')
('floating-point', 'divide faster', 'integer', 'performance', '2149859', 'floating-point divide is faster than integer fewer bits to divide assuming your cpu has floating-point unit\n')
('floating-point', 'math slower', 'integer', 'performance', '514184', 'they take up more space and floating-point math is slower than integer math\n')
('floating-point', 'faster', 'integer', 'performance', '1900794', 'depending on context floating-point code may be as fast as or faster than integer code or it may be four times slower\n')
('integer', 'arithmetic usually faster', 'floating-point', 'performance', '288727', 'which uses all integer arithmetic is usually faster than its floating-point equivalent likely significantly faster in the case of a floating-point type equivalent to t-sql s decimal type\n')
('floating-point', 'slower', 'integer', 'performance', '514184', 'they take up more space and floating-point math is slower than integer math\n')

cpu	processors	2
('cpu', 'indeed slower', 'processors', 'performance', '1371975', 'the cpu is indeed slower on sparc 1.2ghz and as answered by one of the sun s engineers t2 is usualy 3 times slower for single-threaded application than modern intel processors\n')
('cpu', 'better', 'processors', '', '142240', 'some fancy compilers understand the un interrelatedness of instructions to a limited extent and will automatically interleave instruction flows probably over a longer window than the cpu sees to better utilise the processors\n')

versioning	upgrade	5
('versioning', 'number easier', 'upgrade', 'usability', '142427', 'using compatibility as the central point in the versioning number makes it easier for users especially if te product is a library to judge whether or not they can expect a smoothe and safe upgrade or not\n')
('upgrade', 'newer', 'versioning', '', '1872552', 'these locations will convert when they go to windows 7 perhaps or because the application they use internally is upgrade and needs the newer browser versioning\n')
('upgrade', 'lower', 'versioning', '', '994571', 'if i enable this then any setup is ran every time it will be asking for upgrade either it is on lower versioning over higher versioning or higher versioning over lower versioning\n')
('versioning', 'easier', 'upgrade', 'usability', '1214032', 'does anyone know if the upcoming v8 versioning is easier to upgrade or if its easier to upgrade from a certain previous versioning compared to earlier versioning\n')
('versioning', 'newer', 'upgrade', '', '1447805', 'running pear -v gives me versioning 1.7.2 when i run pear upgrade pear it says my versioning is newer than the current noe which is 1.9.0 if ran pear upgrade -f pear to force an upgrade it downloads the files and installs successfully but i still have versioning 1.7.2 and cannot install phpunit\n')

buildr	maven	1
('buildr', 'faster', 'maven', 'performance', '145433', 'and even though everybody says ruby is slow buildr was 2-6x faster than maven\n')

nginx	apache	7
('nginx', 'less memory', 'apache', 'memory', '1271575', 'nginx uses less memory than apache given the size of your setup i would definitely recommend that\n')
('nginx', 'much faster', 'apache', 'performance', '1315178', 'for example nginx is much faster than apache\n')
('nginx', 'better', 'apache', '', '1469813', 'nginx with its own mod_wsgi seems to perform even better than apache but hey you didn t ask about that\n')
('nginx', 'faster', 'apache', 'performance', '535933', 'not only is nginx supposedly faster than apache at delivering static content but this also offloads your rails application for every image stylesheet javascript or whatever other static content\n')
('nginx', 'less memory', 'apache', 'memory', '148194', 'servers like lighthttp and nginx can handle large amounts of traffic in much less memory than apache if you can sacrifice apache s power and flexibility or if you just don t need those things which often you don t\n')
('nginx', 'faster', 'apache', 'performance', '1315178', 'for example nginx is much faster than apache\n')
('nginx', 'better', 'apache', '', '2014241', 'nginx also happens to be better than apache at writing logfiles interestingly\n')

3des	aes	1
('3des', 'more expensive', 'aes', '', '149409', '3des is more expensive than aes for example\n')

irrlicht	ogre	1
('irrlicht', 'cleaner', 'ogre', '', '151399', 'irrlicht has a cleaner api lower system requirements and works better across platforms than ogre in my opinion\n')

inherited	subclassing	2
('subclassing', 'more accurately', 'inherited', '', '1331150', 'since ireadwrite implements ireadonly ireadwrite is said to be a subclassing of ireadonly although subclassing is more accurately used to describe a class which inherited a base class rather then implements an interface--for the sake of simplicity they are very nearly the same concept\n')
('inherited', 'more useful', 'subclassing', 'usability', '154057', 'inherited is more useful when a new subclassing wants to change the way a method works if you just need to change the data the class uses to work probably an approach like this would do the trick\n')

jogl	lwjgl	1
('jogl', 'more java-like', 'lwjgl', '', '157238', 'jogl is more java-like whereas lwjgl provides more gaming functionality on top of opengl access\n')

svn	cvs	12
('svn', 'more efficient', 'cvs', 'performance', '191616', 'in fact svn does stores binaries a lot more efficient than cvs for more info see the svn-faq\n')
('svn', 'better', 'cvs', '', '160037', 'svn is better than cvs because it was designed to be - it s roughly the same thing with some simplications and new features\n')
('svn', 'better', 'cvs', '', '161216', 'svn was supposed to be better than cvs but in some areas that didn t work well\n')
('svn', 'better', 'cvs', '', '1397047', 'if you use svn then it still okay because svn handles binary files much better than cvs\n')
('svn', 'easier', 'cvs', 'usability', '1580034', 'part of the point of svn was to make the use of branches and merging much easier than in cvs\n')
('cvs', 'more popular', 'svn', 'usability', '782375', 'in addition another coworker said cvs was a lot more popular than svn\n')
('cvs', 'more useful features', 'svn', 'usability', '161216', 'the other distributed tools are a lot faster svn is slow as hell even cvs can be faster sometimes have much more useful features than svn are developing rapidly while seeing any new feature in svn takes years\n')
('svn', 'better', 'cvs', '', '159971', 'svn is better than cvs\n')
('svn', 'better', 'cvs', '', '245323', 'that being said i think svn is better in every other respect and you probably shouldn t start a new project with cvs\n')
('svn', 'better', 'cvs', '', '1589215', 'svn in much better than cvs and have lot of mature tools for every platform\n')
('svn', 'more comparable format', 'cvs', '', '161202', 'the first one can be solved by using svn +ssh which is the more comparable format as cvs uses its own protocol as well\n')
('svn', 'better enviroment', 'cvs', '', '1101716', 'for all the reasons linked in the comment and elsewhere svn tends to be a much better enviroment than cvs or vss unless you have some weird requirements - so if you can successfully import your history and save the company money i wouldn t see why the bosses wouldn t go for it\n')

scheme	lisp	4
('scheme', 'simpler common', 'lisp', 'usability', '563472', 'it s popular it s actively developed it has many libraries offering the features of a modern programming environment and scheme is somewhat simpler not to say better just simpler than common lisp\n')
('scheme', 'better common', 'lisp', '', '170948', 'here is a solution in scheme because i know that better than common lisp and have an interpreter for checking my work\n')
('scheme', 'more user-friendly', 'lisp', 'usability', '2115070', 'i ve also found scheme ides much more user-friendly than lisp s plt scheme is a good one\n')
('scheme', 'somewhat simpler', 'lisp', 'usability', '563472', 'it s popular it s actively developed it has many libraries offering the features of a modern programming environment and scheme is somewhat simpler not to say better just simpler than common lisp\n')

apache	lighttpd	2
('lighttpd', 'even faster', 'apache', 'performance', '371821', 'for instance in some benchmarks lighttpd is even faster at serving static resources than apache\n')
('apache', 'more powerful', 'lighttpd', 'usability', '172177', 'the benefit of both apache is more powerful and extensible useless if you don t need that power but anyway... and lighttpd is faster at static content\n')

vhdl	verilog	3
('vhdl', 'more feature-rich', 'verilog', '', '178555', 'yes vhdl was once much more feature-rich than verilog but later revisions of the language verilog 2001 verilog 2005 systemverilog etc.. have cherry-picked most of the interesting features and there is far more robust toolchain support for verilog and its variant these days in addition to it being the dominant language in use in the us in my experience vhdl is only used here when dealing with extreme legacy blocks and in academic contexts partially due to the tools support mentioned previously\n')
('verilog', 'less common', 'vhdl', '', '764074', 'pacoblaze was written in verilog which like adam said less common than vhdl\n')
('vhdl', 'more popular', 'verilog', 'usability', '177565', 'vhdl is more popular in europe and verilog is dominating in the us\n')

google-chrome	safari	1
('google-chrome', 'also earlier', 'safari', '', '179520', 'google-chrome also uses an earlier version of webkit than the current safari so pages should be checked in both browsers\n')

inherited	properties	4
('inherited', 'easier', 'properties', 'usability', '766479', 'multiple inherited makes it easier to compose classes from small mixin base classes that implement functionality and have properties to remember state\n')
('inherited', 'much more powerful', 'properties', 'usability', '183126', 'now in .net for desktop controls you can use inherited which is much more powerful than the old tag properties anyway\n')
('inherited', 'much more', 'properties', '', '183126', 'now in .net for desktop controls you can use inherited which is much more powerful than the old tag properties anyway\n')
('inherited', 'better', 'properties', '', '1287890', 'less is a css extension that enables reuse and encapsulation of values color values for instance improves inherited allows a better nesting of related properties and operations also\n')

webkit	gecko	2
('webkit', 'stricter', 'gecko', '', '1078466', 'webkit is stricter than gecko\n')
('webkit', 'smaller', 'gecko', 'memory', '184381', 'my understanding is webkit is pretty good smaller than gecko\n')

configobj	configparser	1
('configobj', 'easier', 'configparser', 'usability', '186990', 'i ve heard that configobj is easier to work with than configparser\n')

web2py	django	3
('django', 'more heavy', 'web2py', 'memory', '1477841', 'to answer klochner both seems quite popular but ruby is not a language that i am familiar with and django seems more heavy and complex to me than web2py\n')
('web2py', 'easier', 'django', 'usability', '196705', 'anyway the most important issue is that web2py is easier than django pylons php and rails\n')
('web2py', 'more lightweight', 'django', 'memory', '1250937', 'and web2py is more lightweight than django rails whatever on pretty much all counts\n')

nfa	dfa	3
('nfa', 'far easier', 'dfa', 'usability', '198624', 'because representation of a given problem with a nfa is far easier than the equivalent dfa\n')
('dfa', 'smaller', 'nfa', 'memory', '1217263', 'in fact because you are eliminating the redundancy of epsilon transitions many simple dfa s actually get smaller than the nfa they represent but there is simply no way to guarantee that\n')
('dfa', 'larger', 'nfa', 'memory', '1408183', 'if it can be practically determinized this give you a dfa that can be exponentially larger than the nfa then by all means do that\n')

dialog	pop-up	2
('dialog', 'less intrusive', 'pop-up', '', '206134', 'from a practice standpoint - excluding accessibility - modal windows provide an alternative that are less startling as say dialog boxes and feel less intrusive than pop-up windows\n')
('dialog', 'better', 'pop-up', '', '784719', 'use floating divs instead which looks like a modal dialog but are better than the pop-up\n')

antivirus	norton	1
('antivirus', 'better', 'norton', '', '215539', 'many other antivirus software that works just as well if not better than norton like avg avast and others do allow you to uninstall from the add remove\n')

compiled-language	interpreted-language	4
('interpreted-language', 'slower', 'compiled-language', 'performance', '1694508', 'this is a good question but should be formulated a little different in my opinion for example why are interpreted-language slower than compiled-language\n')
('interpreted-language', 'slower', 'compiled-language', 'performance', '1737240', 'fact is that interpreted-language like php are always slower than a compiled-language\n')
('compiled-language', 'faster', 'interpreted-language', 'performance', '223029', 'a compiled-language will generally run faster than an interpreted-language so i think ruby and php start behind the eight ball but it really comes down to how you use the language and how you structure the code\n')
('interpreted-language', 'less common', 'compiled-language', '', '1347760', 'this is usually seen in dynamic interpreted-language but is less common in compiled-language\n')

multiplication	division	27
('multiplication', 'faster', 'division', 'performance', '226515', 'multiplication is faster division is more accurate\n')
('multiplication', 'faster', 'division', 'performance', '1135698', 'integer multiplication is much faster than division\n')
('division', 'slower', 'multiplication', 'performance', '1643009', 'the tostring should be slower than parse since division is generally slower than multiplication\n')
('division', 'much more', 'multiplication', '', '1117688', 'the cpu operation for float division is much more complicated than multiplication\n')
('multiplication', 'cheaper', 'division', '', '1840568', 'if a remains the same and b is changing say if your code is in a loop and it s clear that a does not change between two iterations for instance because it s a const variable then the original version can execute faster because multiplication is cheaper than division assuming the compiler moves the computation of 1 .\n')
('multiplication', 'slower hardware', 'division', 'performance', '436535', 'you always need to know the magic number here 0xaaaaaaab and the correct operations after the multiplication shifts and or additions in most cases and both is different depending on the number you want to divide by and both take too much cpu time to calculate them on the fly that would be slower than hardware division\n')
('multiplication', 'faster', 'division', 'performance', '980962', 'on many processors integer multiplication is faster than integer division\n')
('division', 'generally slower', 'multiplication', 'performance', '1643009', 'the tostring should be slower than parse since division is generally slower than multiplication\n')
('multiplication', 'cheaper', 'division', '', '1027808', 't is not very important as long as alpha is small otherwise you will run into some rather weird nyquist issues aliasing etc. and if you are working on a processor where multiplication is cheaper than division or fixed-point issues are important precalculate omega\n')
('multiplication', 'faster', 'division', 'performance', '899887', 'multiplication is faster than division so the second method is faster\n')
('division', 'busier place', 'multiplication', '', '506252', 'both operations are done down at the floating point unit fpu level and even in the world of integral alus the division circuit is a far busier place than a multiplication circuit\n')
('multiplication', 'faster', 'division', 'performance', '836856', 'also addition is faster than multiplication and multiplication is faster than division\n')
('multiplication', 'faster', 'division', 'performance', '899929', 'if the latter yes floating point multiplication is generally faster than division\n')
('division', 'harder', 'multiplication', '', '1117702', 'if you think back to grade school you ll recall that multiplication was harder than addition and division was harder than multiplication\n')
('division', 'slower', 'multiplication', 'performance', '506241', 'division is per se slower than multiplication however i don t know the details\n')
('division', 'slower', 'multiplication', 'performance', '436535', 'can be fast or it can be awfully slow even if division is done entirely in hardware if it is done using a div instruction this instruction is about 3 to 4 times slower than a multiplication on modern cpus\n')
('division', 'slower', 'multiplication', 'performance', '655584', 'which one is faster is indeed a cpu-specific issue or at least how much faster is cpu specific yes division is typically seen as slower than multiplication\n')
('division', 'worse', 'multiplication', '', '1988545', 'so division is always a bit worse than multiplication\n')
('multiplication', 'less expensive', 'division', '', '1735122', 'multiplication is less expensive than division so\n')
('division', 'more complicated', 'multiplication', 'usability', '1117688', 'the cpu operation for float division is much more complicated than multiplication\n')
('multiplication', 'much faster', 'division', 'performance', '1135698', 'integer multiplication is much faster than division\n')
('multiplication', 'far easier', 'division', 'usability', '1917713', 'multiplication is far easier and faster for a cpu to do than division\n')
('multiplication', 'faster', 'division', 'performance', '1168616', 'this can be a major clock-cycle saver since multiplication is often much faster than a division operation\n')
('multiplication', 'generally faster', 'division', 'performance', '899929', 'if the latter yes floating point multiplication is generally faster than division\n')
('division', 'shorter', 'multiplication', '', '1965541', 'i haven t benchmarked any of this code but just by examining the code you can see that using integers division by 2 is shorter than multiplication by 2\n')
('division', 'slower', 'multiplication', 'performance', '655581', 'division algorithms are slower than multiplication algorithms in most cases\n')
('division', 'much more complicated', 'multiplication', 'usability', '1117688', 'the cpu operation for float division is much more complicated than multiplication\n')

teamcity	cruisecontrol	1
('teamcity', 'far easier', 'cruisecontrol', 'usability', '226593', 'for a one man shop teamcity is far easier to setup and configure than cruisecontrol\n')

innodb	myisam	30
('myisam', 'better', 'innodb', '', '1318324', '3 mysqlhotcopy inly works on myisam tables and in most applications you are better off with innodb\n')
('innodb', 'better', 'myisam', '', '1729806', 'am i right that innodb is better for frequent concurrent updates and inserts than myisam\n')
('myisam', 'generally less', 'innodb', '', '754723', 'plus you have to make your tables myisam which is generally less suitable than innodb\n')
('innodb', 'better', 'myisam', '', '1247801', 'innodb supports better locking semantics so if there will be occasional or frequent writes or if you want better data integrity i d suggest starting there and then benchmarking myisam later if you can t hit your performance targets\n')
('innodb', 'slower', 'myisam', 'performance', '1359270', 'however innodb tends to be slower as myisam\n')
('myisam', 'faster', 'innodb', 'performance', '1959795', 'anyone who thinks myisam is faster is either not tuning innodb correctly or has such small data that who cares\n')
('myisam', 'faster', 'innodb', 'performance', '1647078', 'i am not sure if this is no longer true myisam is faster than innodb for reads\n')
('innodb', 'slower', 'myisam', 'performance', '277511', 'innodb is slower than myisam for most uses but can perform faster in certain conditions due to a better locking mechanism\n')
('innodb', 'much slower', 'myisam', 'performance', '1730317', 'if you find that innodb is much slower for inserts updates bear in mind that it offers a much better level of durability - if you tune it for approximately the same durability as myisam then you ll see good performance hopefully\n')
('myisam', 'faster', 'innodb', 'performance', '990780', 'i heard myisam is faster but others say innodb can be fast also but it takes abit more to optimize it\n')
('innodb', 'better', 'myisam', '', '380074', 'innodb has better performance than myisam though innodb needs more attention to tuning the configuration innodb supports atomic changes transactions foreign keys and innodb is much more resistant to corrupting data in a crash\n')
('myisam', 'faster', 'innodb', 'performance', '1647114', 'ok there are some cases where myisam is faster than innodb but rarely enough that it s worth putting up with the lack of acid-compliance\n')
('innodb', 'bigger', 'myisam', 'memory', '2114537', 'innodb tables are about 4x bigger than their myisam counterparts\n')
('myisam', 'faster', 'innodb', 'performance', '405022', 'myisam is faster in data warehousing situations such as full table scan reporting etc.. but innodb can actually be faster in many cases with normal oltp queries\n')
('myisam', 'faster', 'innodb', 'performance', '1729806', 'we know that myisam is faster than innodb when we don t have many concurrent updates inserts\n')
('innodb', 'actually faster', 'myisam', 'performance', '389824', 'innodb is actually faster than myisam in quite a few cases so it depends on what your application s mix of selects updates concurrent queries indexes buffer configuration etc\n')
('innodb', 'faster', 'myisam', 'performance', '389824', 'innodb is actually faster than myisam in quite a few cases so it depends on what your application s mix of selects updates concurrent queries indexes buffer configuration etc\n')
('innodb', 'slower', 'myisam', 'performance', '228750', 'also innodb is slower than myisam unless myisam is blocking for a huge select\n')
('innodb', 'higher throughput', 'myisam', '', '405022', 'innodb is harder to tune since it has more knobs but a properly tuned innodb system can often have higher throughput than myisam due to better locking and better i o patterns\n')
('innodb', 'much better', 'myisam', '', '1970160', 'someone just told me that innodb is much better than myisam\n')
('innodb', 'slower', 'myisam', 'performance', '990830', 'innodb is slower for read only databases because it has features acid compliant row level locking that myisam leaves out\n')
('myisam', 'faster', 'innodb', 'performance', '1730317', 'it is a massive over simplification in some cases and plain wrong in others to say we know that myisam is faster than innodb\n')
('innodb', 'higher', 'myisam', '', '579589', 'their conclusion innodb has 30 higher performance than myisam on average\n')
('innodb', 'safer', 'myisam', 'security', '1042989', 'innodb is a safer acid compliant engine with some integrity features that myisam lacks\n')
('innodb', 'heavier', 'myisam', '', '262798', 'i know innodb is heavier than myisam but just how much more\n')
('myisam', 'less suitable', 'innodb', '', '754723', 'plus you have to make your tables myisam which is generally less suitable than innodb\n')
('innodb', 'better performance', 'myisam', 'performance', '380074', 'innodb has better performance than myisam though innodb needs more attention to tuning the configuration innodb supports atomic changes transactions foreign keys and innodb is much more resistant to corrupting data in a crash\n')
('innodb', 'better', 'myisam', '', '1970160', 'someone just told me that innodb is much better than myisam\n')
('myisam', 'faster', 'innodb', 'performance', '1774377', 'myisam inserts are going to be faster than innodb so if you re logging data and retrieving it later that will be a win\n')
('innodb', 'higher performance', 'myisam', 'performance', '579589', 'their conclusion innodb has 30 higher performance than myisam on average\n')

for-loop	loops	8
('loops', 'strictly more', 'for-loop', '', '2098528', 'the class of problems you can solve with while loops is strictly more powerful than those you could have solved with the strict for-loop found in pascal\n')
('for-loop', 'neater', 'loops', '', '229915', 'putting the whole thing in a for-loop makes it neater and ensures that the iterating isread is called each loops\n')
('loops', 'wider', 'for-loop', '', '848039', 'the scope of the variable in the test of the while loops is wider than the scope of variables declared in the header of the for-loop\n')
('for-loop', 'much faster', 'loops', 'performance', '365630', 'i did test it a while ago with the result that a for-loop is much faster than a foreach loops\n')
('for-loop', 'generally better', 'loops', '', '472283', 'the conclusion of the article is that using for-loop is generally better and faster than the foreach loops\n')
('loops', 'strictly more powerful', 'for-loop', 'usability', '2098528', 'the class of problems you can solve with while loops is strictly more powerful than those you could have solved with the strict for-loop found in pascal\n')
('loops', 'faster', 'for-loop', 'performance', '1165594', 'even if the hypothesis of the while loops being faster than the for-loop were true and it s not the loops you d had to change optimize wouldn t be the outer ones but the inner ones because those are executed more times\n')
('for-loop', 'easier', 'loops', 'usability', '2242654', 'further as a for-loop it is easier to read as everything initialization loops condition expression to be executed after each iteration are all on one line\n')

nstableview	nssplitview	1
('nstableview', 'shorter', 'nssplitview', '', '241621', 'a pattern i also use is to make the nstableview slightly shorter than the nssplitview and have buttons at the bottom add delete etc\n')

greenfoot	bluej	1
('greenfoot', 'better', 'bluej', '', '259080', 'i think greenfoot is better than bluej for 8-years old\n')

ubuntu	centos	1
('ubuntu', 'less desirable', 'centos', '', '263966', 'in this respect ubuntu is less desirable on a server than rhel or centos which stick to more mature versions\n')

swt	swing	4
('swt', 'usually easier', 'swing', 'usability', '1037130', 'it can be hard to get the layuots exact the way you want in swt it s usually easier in swing\n')
('swt', 'more simple', 'swing', '', '269117', 'swt is more simple to use than swing especially if this is your first ui\n')
('swt', 'more platform-specific', 'swing', '', '2281068', 'swt has a more platform-specific look about it but java ships with swing built-in there s no messing about with external libraries as with swt although the use of eclipse may make that much easier i still develop quite a bit of my stuff from the command line unfortunately\n')
('swt', 'faster', 'swing', 'performance', '1298464', 'is swt faster than swing\n')

boost	stl	4
('boost', 'less standard', 'stl', '', '548827', 'boost libraries are generally less mature and less standard than stl\n')
('boost', 'more modern', 'stl', '', '1577097', 'while boost is more modern c++ it also harder to use for non trivial tasks - and without a modern c++ experience and deep stl knowledge it is difficult to use correctly\n')
('stl', 'better', 'boost', '', '548848', 'once you re past the basics with c++ learning how to use parts of stl and then how it works will be better than tackling boost\n')
('boost', 'better', 'stl', '', '277306', 'i ve used both for the same project boost is better integrated with the stl and especially c++ exceptions\n')

rdiscount	bluecloth	1
('rdiscount', 'more reliable', 'bluecloth', 'reliability', '277564', 'rdiscount seems to be much faster and more reliable than bluecloth\n')

glassfish	jboss	1
('glassfish', 'better', 'jboss', '', '283405', 'i think glassfish is a better j2ee app server to start with than jboss\n')

parent	children	3
('children', 'greater', 'parent', '', '2138363', 'if smallest state of all children is greater than parent s state then update parent\n')
('parent', 'more content', 'children', '', '289468', 'i have come up with a few ideas such as traversing the html document tree to its leaves adding up the length of the text and only seeing what other text the parent has if the parent gives us more content than the children do\n')
('parent', 'more n', 'children', '', '931234', 'in the same breath i would also like to be able to run a specific number of child processes at any given time say for example n children running concurrently whenever one exits the parent process starts another child if needed but has no more than n children at any given moment\n')

redmine	trac	6
('redmine', 'better', 'trac', '', '386835', 'redmine is an open source ruby on rails application that supports multiple projects much better than trac and seems to be much easier to administer\n')
('redmine', 'better', 'trac', '', '1277646', 'redmine was written to be a better trac than trac\n')
('redmine', 'more complete', 'trac', '', '380757', 'i d recommend redmine like the other posters as it is more complete than trac\n')
('redmine', 'better', 'trac', '', '1050501', 'we found redmine to be a better than trac simply because it is easier to use\n')
('redmine', 'nicer', 'trac', '', '294097', 'redmine handles multiple projects and sub-projects right out of the box and overall seems nicer than trac\n')
('redmine', 'better', 'trac', '', '323542', 'the authors of redmine are trying to create a better trac than trac\n')

ant	maven	9
('maven', 'better tool', 'ant', '', '1190551', 'while i personally think maven is a better tool than ant in the long run our experience will make maven3 a better tool than maven2\n')
('maven', 'really better', 'ant', '', '599070', 'and it turns out maven really does a better job of managing dependencies for ant build.xml files than does ivy\n')
('maven', 'less reliable', 'ant', 'reliability', '1010593', 'troubleshooting the build maven is less reliable than ant especially the non-core plugins\n')
('ant', 'better', 'maven', '', '1347793', 'this question is similar in nature to whether ant is better than maven or c# better than java\n')
('maven', 'younger tool', 'ant', '', '1732320', 'first maven is a much younger tool than ant or make so you have to expect that its going to take time to get to the maturity level of those applications\n')
('ant', 'clearer', 'maven', '', '989209', 'i find the ant one much clearer than the maven one\n')
('maven', 'better', 'ant', '', '1190551', 'while i personally think maven is a better tool than ant in the long run our experience will make maven3 a better tool than maven2\n')
('maven', 'usage lower', 'ant', 'usability', '1077627', 'maven usage is lower compared to ant but just how much lower is not really known\n')
('ant', 'better', 'maven', '', '304069', 'however some things ant handles better than maven and if there s not a maven plugin for it it may be difficult to handle in maven\n')

activemq	rabbitmq	2
('activemq', 'way more', 'rabbitmq', '', '333440', 'apache activemq which is way more popular than qpid or rabbitmq - or indeed any jms provider would work just fine\n')
('activemq', 'way more popular', 'rabbitmq', 'usability', '333440', 'apache activemq which is way more popular than qpid or rabbitmq - or indeed any jms provider would work just fine\n')

chars	int	24
('chars', 'far more', 'int', '', '857530', 'since sql server doesn t support named constants chars is far more descriptive than int when used in stored procedure and views as constants\n')
('int', 'often faster', 'chars', 'performance', '966107', 'far better to use a surrogate key and yes a join on an int is often faster and you can join in delete staments in many databases not use the slower subquery especially since names tend to be longer than a few chars\n')
('int', 'bigger', 'chars', 'memory', '1745229', 'because int can become arbitrarily large in clojure the resulting number becomes bigger with every chars thanks to the\n')
('chars', 'greater', 'int', '', '955645', 'if you use chars x where x 4 your chars key will be greater than a int one\n')
('chars', 'more usable', 'int', '', '964541', 'sometimes chars type is more usable than int - fixed size chars doesn t take much storage room and you can see enumerated values directly in database fields\n')
('int', 'much wider', 'chars', '', '1691050', 'normally range of int is much wider than that of chars\n')
